date,mean_temp,tdd,tdd_gw,model,run_id
2026-02-25,31.51,33.49,33.49,CMC_ENS,20260225_00
2026-02-26,32.41,32.59,32.59,CMC_ENS,20260225_00
2026-02-27,34.37,30.63,30.63,CMC_ENS,20260225_00
2026-02-28,36.95,28.05,28.05,CMC_ENS,20260225_00
2026-03-01,30.03,34.97,34.97,CMC_ENS,20260225_00
2026-03-02,24.06,40.94,40.94,CMC_ENS,20260225_00
2026-03-03,28.69,36.31,36.31,CMC_ENS,20260225_00
2026-03-04,39.64,25.36,25.36,CMC_ENS,20260225_00
2026-03-05,42.93,22.07,22.07,CMC_ENS,20260225_00
2026-03-06,48.08,16.92,16.92,CMC_ENS,20260225_00
2026-03-07,41.5,23.5,23.5,CMC_ENS,20260225_00
2026-03-08,45.2,19.8,19.8,CMC_ENS,20260225_00
2026-03-09,44.74,20.26,20.26,CMC_ENS,20260225_00
2026-03-10,51.19,13.81,13.81,CMC_ENS,20260225_00
2026-03-11,54.6,10.4,10.4,CMC_ENS,20260225_00
2026-03-12,45.03,19.97,19.97,CMC_ENS,20260225_00
