date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id
2026-02-24,35.99,29.01,0,29.01,24.51,40.49,0,40.49,ECMWF_ENS,20260224_12
2026-02-25,40.62,24.38,0,24.38,29.47,35.53,0,35.53,ECMWF_ENS,20260224_12
2026-02-26,42.71,22.29,0,22.29,28.46,36.54,0,36.54,ECMWF_ENS,20260224_12
2026-02-27,43.55,21.45,0,21.45,29.4,35.6,0,35.6,ECMWF_ENS,20260224_12
2026-02-28,42.82,22.18,0,22.18,32.03,32.97,0,32.97,ECMWF_ENS,20260224_12
2026-03-01,38.82,26.18,0,26.18,26.72,38.28,0,38.28,ECMWF_ENS,20260224_12
2026-03-02,37.5,27.5,0,27.5,21.76,43.24,0,43.24,ECMWF_ENS,20260224_12
2026-03-03,39.53,25.47,0,25.47,23.43,41.57,0,41.57,ECMWF_ENS,20260224_12
2026-03-04,42.35,22.65,0,22.65,31.06,33.94,0,33.94,ECMWF_ENS,20260224_12
2026-03-05,42.47,22.53,0,22.53,30.36,34.64,0,34.64,ECMWF_ENS,20260224_12
2026-03-06,45.05,19.95,0,19.95,38.74,26.26,0,26.26,ECMWF_ENS,20260224_12
2026-03-07,45.66,19.34,0,19.34,39.14,25.86,0,25.86,ECMWF_ENS,20260224_12
2026-03-08,45.84,19.16,0,19.16,39.62,25.38,0,25.38,ECMWF_ENS,20260224_12
2026-03-09,46.13,18.87,0,18.87,41.98,23.02,0,23.02,ECMWF_ENS,20260224_12
2026-03-10,45.43,19.57,0,19.57,40.88,24.12,0,24.12,ECMWF_ENS,20260224_12
2026-03-11,44.19,20.81,0,20.81,37.6,27.4,0,27.4,ECMWF_ENS,20260224_12
