date,mean_temp,tdd,mean_temp_gw,tdd_gw,model,run_id
2026-02-22,35.93,29.07,35.93,29.07,GFS,20260222_12
2026-02-23,34.08,30.92,34.08,30.92,GFS,20260222_12
2026-02-24,36.5,28.5,36.5,28.5,GFS,20260222_12
2026-02-25,41.13,23.87,41.13,23.87,GFS,20260222_12
2026-02-26,42.58,22.42,42.58,22.42,GFS,20260222_12
2026-02-27,43.71,21.29,43.71,21.29,GFS,20260222_12
2026-02-28,43.73,21.27,43.73,21.27,GFS,20260222_12
2026-03-01,44.23,20.77,44.23,20.77,GFS,20260222_12
2026-03-02,45.48,19.52,45.48,19.52,GFS,20260222_12
2026-03-03,44.15,20.85,44.15,20.85,GFS,20260222_12
2026-03-04,43.94,21.06,43.94,21.06,GFS,20260222_12
2026-03-05,47.64,17.36,47.64,17.36,GFS,20260222_12
2026-03-06,44.45,20.55,44.45,20.55,GFS,20260222_12
2026-03-07,43.94,21.06,43.94,21.06,GFS,20260222_12
2026-03-08,45.64,19.36,45.64,19.36,GFS,20260222_12
